"Time","BTC Total supply","BTC Market cap","ETH OKX Exchange address outflow","Number of OKC tokens","bitcoin:1KgeqstG8a19jNzUhRyVhwppMMJXp8id8L"
01/03/2009,0,,,,
01/04/2009,0,,,,
02/04/2009,0,,,,
01/05/2009,0,,,,
02/05/2009,0,,,,
01/06/2009,0,,,,
02/06/2009,0,,,,
01/07/2009,0,,,,
02/07/2009,0,,,,
01/08/2009,0,,,,
02/08/2009,0,,,,
03/08/2009,0,,,,
01/09/2009,0,,,,
02/09/2009,0,,,,
03/09/2009,0,,,,
04/09/2009,0,,,,
01/10/2009,0,,,,
02/10/2009,0,,,,
03/10/2009,0,,,,
04/10/2009,0,,,,
01/11/2009,0,,,,
02/11/2009,0,,,,
03/11/2009,0,,,,
04/11/2009,0,,,,
05/11/2009,0,,,,
01/12/2009,0,,,,
{date, date, ::yyyyMMdd},,,,,
02/01/2009,0,,,,
02/02/2009,0,,,,
02/03/2009,0,,,,
02/12/2009,0,,,,
03/01/2009,0,,,,
03/02/2009,0,,,,
03/03/2009,0,,,,
03/04/2009,0,,,,
03/05/2009,0,,,,
03/06/2009,0,,,,
03/07/2009,0,,,,
03/12/2009,0,,,,
04/01/2009,0,,,,
04/02/2009,0,,,,
04/03/2009,0,,,,
04/04/2009,0,,,,
04/05/2009,0,,,,
04/06/2009,0,,,,
04/07/2009,0,,,,
04/08/2009,0,,,,
04/12/2009,0,,,,
05/01/2009,0,,,,
05/02/2009,0,,,,
05/03/2009,0,,,,
05/04/2009,0,,,,
05/05/2009,0,,,,
05/06/2009,0,,,,
05/07/2009,0,,,,
05/08/2009,0,,,,
05/09/2009,0,,,,
05/10/2009,0,,,,
05/12/2009,0,,,,
06/01/2009,0,,,,
06/02/2009,0,,,,
06/03/2009,0,,,,
06/04/2009,0,,,,
06/05/2009,0,,,,
06/06/2009,0,,,,
06/07/2009,0,,,,
06/08/2009,0,,,,
06/09/2009,0,,,,
06/10/2009,0,,,,
06/11/2009,0,,,,
06/12/2009,0,,,,
07/01/2009,0,,,,
07/02/2009,0,,,,
07/03/2009,0,,,,
07/04/2009,0,,,,
07/05/2009,0,,,,
07/06/2009,0,,,,
07/07/2009,0,,,,
07/08/2009,0,,,,
07/09/2009,0,,,,
07/10/2009,0,,,,
07/11/2009,0,,,,
07/12/2009,0,,,,
08/01/2009,0,,,,
08/02/2009,0,,,,
08/03/2009,0,,,,
08/04/2009,0,,,,
08/05/2009,0,,,,
08/06/2009,0,,,,
08/07/2009,0,,,,
08/08/2009,0,,,,
08/09/2009,0,,,,
08/10/2009,0,,,,
08/11/2009,0,,,,
08/12/2009,0,,,,
09/01/2009,0,,,,
09/02/2009,0,,,,
09/03/2009,0,,,,
09/04/2009,0,,,,
09/05/2009,0,,,,
09/06/2009,0,,,,
09/07/2009,0,,,,
09/08/2009,0,,,,
09/09/2009,0,,,,
09/10/2009,0,,,,
09/11/2009,0,,,,
09/12/2009,0,,,,
